record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
30170,1,8,2000,2,PP,M,21,17
30301,2,5,2000,2,PP,M,22,18
30302,2,5,2000,2,PP,F,22,17
30304,2,5,2000,2,PP,M,22,18
30306,2,5,2000,2,PP,M,22,17
30431,3,4,2000,2,PP,M,22,21
30432,3,4,2000,2,PP,F,23,17
30434,3,4,2000,2,PP,M,22,22
30439,3,4,2000,2,PP,M,22,19
30608,4,30,2000,2,PP,M,22,22
30609,4,30,2000,2,PP,M,21,19
30733,6,3,2000,2,PP,M,27,10
30740,6,3,2000,2,PP,M,22,14
30913,7,1,2000,2,PP,F,21,16
30915,7,1,2000,2,PP,M,22,18
31106,7,22,2000,2,PP,M,23,17
31107,7,22,2000,2,PP,M,22,14
31108,7,22,2000,2,PP,M,23,15
31204,8,25,2000,2,PP,F,21,14
31207,8,25,2000,2,PP,M,23,17
31208,8,25,2000,2,PP,M,22,15
31209,8,25,2000,2,PP,F,22,15
31211,8,25,2000,2,PP,M,23,19
31214,8,25,2000,2,PP,M,23,17
31387,9,30,2000,2,PP,M,22,15
31389,9,30,2000,2,PP,M,22,17
31944,4,21,2001,2,PP,F,22,21
31947,4,21,2001,2,PP,M,22,24
32162,6,25,2001,2,PP,M,22,22
32163,6,25,2001,2,PP,M,23,16
32164,6,25,2001,2,PP,M,22,17
32378,8,25,2001,2,PP,M,23,19
32379,8,25,2001,2,PP,F,22,17
32387,8,25,2001,2,PP,M,22,18
32599,9,22,2001,2,PP,M,22,20
32606,9,22,2001,2,PP,M,24,19
32608,9,22,2001,2,PP,M,22,18
32609,9,22,2001,2,PP,M,23,17
32819,10,13,2001,2,PP,M,23,19
32824,10,13,2001,2,PP,M,23,19
32830,10,13,2001,2,PP,M,21,16
33034,11,17,2001,2,PP,M,21,16
33226,12,15,2001,2,PP,M,21,17
33412,2,9,2002,2,PP,M,22,17
33578,3,13,2002,2,PP,M,22,20
33584,3,13,2002,2,PP,M,23,23
33843,4,17,2002,2,PP,F,22,14
33845,4,17,2002,2,PP,M,23,22
33846,4,17,2002,2,PP,F,21,17
33957,5,15,2002,2,PP,M,23,22
33959,5,15,2002,2,PP,F,22,20
33965,5,15,2002,2,PP,F,22,18
34193,6,15,2002,2,PP,F,20,9
34197,6,15,2002,2,PP,M,23,22
34423,7,13,2002,2,PP,M,23,22
34425,7,13,2002,2,PP,F,20,12
34430,7,13,2002,2,PP,F,19,13
34432,7,13,2002,2,PP,F,21,18
34433,7,13,2002,2,PP,F,20,13
34434,7,13,2002,2,PP,M,22,15
34773,10,5,2002,2,PP,F,22,16
34774,10,5,2002,2,PP,F,20,18
34984,11,9,2002,2,PP,M,22,14
34988,11,9,2002,2,PP,F,23,15
35202,12,7,2002,2,PP,M,21,14
35401,12,29,2002,2,PP,M,21,14
35408,12,29,2002,2,PP,M,21,13
30738,6,3,2000,2,SH,M,28,48
32044,5,26,2001,2,SH,M,30,79
32816,10,13,2001,2,SH,F,28,101
33029,11,17,2001,2,SH,M,28,65
33413,2,9,2002,2,SH,F,30,57
33839,4,17,2002,2,SH,M,30,79
30912,7,1,2000,2,OT,M,20,23
31213,8,25,2000,2,OT,F,21,32
31384,9,30,2000,2,OT,M,20,25
31388,9,30,2000,2,OT,F,20,30
31519,11,25,2000,2,OT,M,20,26
31521,11,25,2000,2,OT,F,20,30
31627,12,22,2000,2,OT,M,20,25
31628,12,22,2000,2,OT,M,19,28
31630,12,22,2000,2,OT,F,20,28
31715,1,21,2001,2,OT,M,20,27
32383,8,25,2001,2,OT,M,20,25
32384,8,25,2001,2,OT,M,21,23
32385,8,25,2001,2,OT,F,21,31
32389,8,25,2001,2,OT,M,21,26
32390,8,25,2001,2,OT,F,21,23
32598,9,22,2001,2,OT,M,20,24
32602,9,22,2001,2,OT,M,20,23
32818,10,13,2001,2,OT,M,20,26
32820,10,13,2001,2,OT,M,20,21
32821,10,13,2001,2,OT,M,20,22
32823,10,13,2001,2,OT,M,20,26
32829,10,13,2001,2,OT,M,20,22
33028,11,17,2001,2,OT,M,20,21
33033,11,17,2001,2,OT,M,20,25
33227,12,15,2001,2,OT,M,20,23
33229,12,15,2001,2,OT,M,20,23
33326,1,12,2002,2,OT,F,20,26
33327,1,12,2002,2,OT,M,20,24
33328,1,12,2002,2,OT,F,21,22
33332,1,12,2002,2,OT,F,20,18
33333,1,12,2002,2,OT,M,20,25
33334,1,12,2002,2,OT,F,20,22
33585,3,13,2002,2,OT,F,20,23
33838,4,17,2002,2,OT,F,20,25
33840,4,17,2002,2,OT,M,21,29
33952,5,15,2002,2,OT,F,20,27
34983,11,9,2002,2,OT,F,21,24
35204,12,7,2002,2,OT,M,19,19
35395,12,29,2002,2,OT,M,19,23
30171,1,8,2000,2,DO,M,36,52
30173,1,8,2000,2,DO,F,35,54
30303,2,5,2000,2,DO,F,36,52
30305,2,5,2000,2,DO,M,37,54
30612,4,30,2000,2,DO,F,34,42
30739,6,3,2000,2,DO,M,34,31
33030,11,17,2001,2,DO,F,35,46
33230,12,15,2001,2,DO,M,35,45
33233,12,15,2001,2,DO,M,36,52
33330,1,12,2002,2,DO,M,35,51
33335,1,12,2002,2,DO,F,36,46
33406,2,9,2002,2,DO,F,36,49
33407,2,9,2002,2,DO,M,35,52
33582,3,13,2002,2,DO,M,36,56
33587,3,13,2002,2,DO,F,36,55
33835,4,17,2002,2,DO,F,35,38
33836,4,17,2002,2,DO,F,36,50
33960,5,15,2002,2,DO,M,37,52
34431,7,13,2002,2,DO,M,36,49
34779,10,5,2002,2,OL,M,20,27
30435,3,4,2000,2,RM,F,17,13
31518,11,25,2000,2,RM,M,18,12
31716,1,21,2001,2,RM,M,17,11
33405,2,9,2002,2,RM,M,19,8
30169,1,8,2000,2,PB,F,25,24
30176,1,8,2000,2,PB,M,26,27
30297,2,5,2000,2,PB,M,26,30
30298,2,5,2000,2,PB,M,26,46
30299,2,5,2000,2,PB,F,25,29
30300,2,5,2000,2,PB,F,26,42
30433,3,4,2000,2,PB,F,26,42
30436,3,4,2000,2,PB,M,26,30
30437,3,4,2000,2,PB,M,26,47
30438,3,4,2000,2,PB,F,27,42
30440,3,4,2000,2,PB,F,25,26
30441,3,4,2000,2,PB,F,25,31
30607,4,30,2000,2,PB,M,26,45
30610,4,30,2000,2,PB,F,25,31
30611,4,30,2000,2,PB,M,26,41
30731,6,3,2000,2,PB,M,26,18
30732,6,3,2000,2,PB,M,27,43
30734,6,3,2000,2,PB,M,27,29
30735,6,3,2000,2,PB,M,27,27
30736,6,3,2000,2,PB,F,25,33
30737,6,3,2000,2,PB,F,26,40
30910,7,1,2000,2,PB,M,26,21
30911,7,1,2000,2,PB,M,26,46
30914,7,1,2000,2,PB,F,25,38
30916,7,1,2000,2,PB,M,27,35
30917,7,1,2000,2,PB,M,25,25
30918,7,1,2000,2,PB,M,27,24
30919,7,1,2000,2,PB,F,26,30
30920,7,1,2000,2,PB,F,25,19
31104,7,22,2000,2,PB,M,27,47
31105,7,22,2000,2,PB,M,26,31
31109,7,22,2000,2,PB,F,26,25
31110,7,22,2000,2,PB,M,26,29
31205,8,25,2000,2,PB,M,27,48
31206,8,25,2000,2,PB,M,27,34
31210,8,25,2000,2,PB,M,27,31
31212,8,25,2000,2,PB,M,26,32
31216,8,25,2000,2,PB,M,27,32
31381,9,30,2000,2,PB,M,26,43
31382,9,30,2000,2,PB,M,26,31
31383,9,30,2000,2,PB,M,27,33
31385,9,30,2000,2,PB,M,26,31
31390,9,30,2000,2,PB,M,26,30
31513,11,25,2000,2,PB,M,27,34
31514,11,25,2000,2,PB,M,27,33
31626,12,22,2000,2,PB,M,26,38
31629,12,22,2000,2,PB,M,26,41
31631,12,22,2000,2,PB,M,26,34
31719,1,21,2001,2,PB,M,26,42
31720,1,21,2001,2,PB,M,27,41
31793,3,3,2001,2,PB,M,26,41
31857,3,24,2001,2,PB,M,26,40
32166,6,25,2001,2,PB,M,27,36
32382,8,25,2001,2,PB,F,26,32
32600,9,22,2001,2,PB,M,27,40
32603,9,22,2001,2,PB,F,27,34
32825,10,13,2001,2,PB,M,27,41
32826,10,13,2001,2,PB,F,26,32
33031,11,17,2001,2,PB,F,26,32
33037,11,17,2001,2,PB,M,28,41
33038,11,17,2001,2,PB,F,26,35
33039,11,17,2001,2,PB,F,27,31
33235,12,15,2001,2,PB,M,28,43
33236,12,15,2001,2,PB,F,27,34
33337,1,12,2002,2,PB,M,28,47
33338,1,12,2002,2,PB,F,26,30
33404,2,9,2002,2,PB,M,27,54
33408,2,9,2002,2,PB,M,28,41
33409,2,9,2002,2,PB,M,27,49
33414,2,9,2002,2,PB,F,27,31
33588,3,13,2002,2,PB,F,26,32
33834,4,17,2002,2,PB,F,26,34
33841,4,17,2002,2,PB,M,27,42
33954,5,15,2002,2,PB,M,26,17
33955,5,15,2002,2,PB,F,25,19
33956,5,15,2002,2,PB,F,26,41
33962,5,15,2002,2,PB,F,26,19
33964,5,15,2002,2,PB,F,27,34
34195,6,15,2002,2,PB,M,28,32
34196,6,15,2002,2,PB,F,26,45
34424,7,13,2002,2,PB,F,25,34
34427,7,13,2002,2,PB,F,25,26
34429,7,13,2002,2,PB,M,26,35
34775,10,5,2002,2,PB,F,26,21
34776,10,5,2002,2,PB,F,26,27
34777,10,5,2002,2,PB,M,27,42
34778,10,5,2002,2,PB,F,26,27
34780,10,5,2002,2,PB,M,26,38
34782,10,5,2002,2,PB,M,27,40
34982,11,9,2002,2,PB,F,27,27
34986,11,9,2002,2,PB,M,28,44
34989,11,9,2002,2,PB,F,25,27
35203,12,7,2002,2,PB,F,27,27
35205,12,7,2002,2,PB,F,25,28
35206,12,7,2002,2,PB,F,26,28
35207,12,7,2002,2,PB,M,27,38
35208,12,7,2002,2,PB,M,27,43
35211,12,7,2002,2,PB,M,26,41
35394,12,29,2002,2,PB,M,26,49
35396,12,29,2002,2,PB,M,27,46
35398,12,29,2002,2,PB,F,26,27
35399,12,29,2002,2,PB,F,27,29
35400,12,29,2002,2,PB,M,26,36
35403,12,29,2002,2,PB,M,27,39
35405,12,29,2002,2,PB,F,26,26
35406,12,29,2002,2,PB,M,26,44
35407,12,29,2002,2,PB,M,27,37
30501,3,5,2000,3,NL,F,32,171
33117,11,18,2001,3,DM,M,36,52
33129,11,18,2001,3,DM,F,35,42
33417,2,9,2002,3,DM,M,36,48
33419,2,9,2002,3,DM,M,37,54
33423,2,9,2002,3,DM,M,36,49
33424,2,9,2002,3,DM,F,36,47
33426,2,9,2002,3,DM,M,37,52
33435,2,9,2002,3,DM,M,37,52
33646,3,14,2002,3,DM,F,36,50
33652,3,14,2002,3,DM,M,36,51
33848,4,17,2002,3,DM,M,36,50
33849,4,17,2002,3,DM,F,36,43
34050,5,16,2002,3,DM,F,36,48
34060,5,16,2002,3,DM,M,36,55
34067,5,16,2002,3,DM,F,36,50
34068,5,16,2002,3,DM,M,37,48
34290,6,16,2002,3,DM,F,36,44
34297,6,16,2002,3,DM,M,36,53
34533,7,14,2002,3,DM,M,35,54
32896,10,14,2001,3,PF,M,14,7
33123,11,18,2001,3,PF,M,15,7
33429,2,9,2002,3,PF,M,15,8
33647,3,14,2002,3,PF,M,9,8
34057,5,16,2002,3,PF,F,15,9
31560,11,26,2000,3,PE,M,21,20
31564,11,26,2000,3,PE,M,20,23
32895,10,14,2001,3,PE,F,21,22
33121,11,18,2001,3,PE,F,22,24
33428,2,9,2002,3,PE,F,21,24
35490,12,31,2002,3,PE,F,19,19
30225,1,10,2000,3,PP,M,22,17
30359,2,6,2000,3,PP,M,20,18
30809,6,4,2000,3,PP,M,22,20
30993,7,2,2000,3,PP,M,20,13
30997,7,2,2000,3,PP,M,20,16
31276,8,26,2000,3,PP,M,21,16
32256,7,22,2001,3,PP,F,22,17
32264,7,22,2001,3,PP,M,22,13
32266,7,22,2001,3,PP,F,22,15
32479,8,26,2001,3,PP,F,22,15
32480,8,26,2001,3,PP,F,22,15
32695,9,23,2001,3,PP,F,23,15
32696,9,23,2001,3,PP,F,22,14
32702,9,23,2001,3,PP,F,23,15
32902,10,14,2001,3,PP,F,22,15
33130,11,18,2001,3,PP,F,23,15
33850,4,17,2002,3,PP,M,22,21
33858,4,17,2002,3,PP,M,22,21
33860,4,17,2002,3,PP,F,22,16
33862,4,17,2002,3,PP,F,22,15
34052,5,16,2002,3,PP,M,23,21
34053,5,16,2002,3,PP,M,23,20
34058,5,16,2002,3,PP,F,23,17
34059,5,16,2002,3,PP,M,22,20
34064,5,16,2002,3,PP,F,23,18
34291,6,16,2002,3,PP,M,22,12
34292,6,16,2002,3,PP,F,22,11
34294,6,16,2002,3,PP,F,22,18
34298,6,16,2002,3,PP,F,22,16
34536,7,14,2002,3,PP,F,22,15
34539,7,14,2002,3,PP,M,20,13
34540,7,14,2002,3,PP,M,23,17
34541,7,14,2002,3,PP,F,21,18
34544,7,14,2002,3,PP,M,23,16
34547,7,14,2002,3,PP,F,21,16
34735,9,10,2002,3,PP,M,21,13
34736,9,10,2002,3,PP,F,22,18
34876,10,6,2002,3,PP,M,22,17
34877,10,6,2002,3,PP,M,21,13
35112,11,10,2002,3,PP,M,22,18
30220,1,10,2000,3,OT,F,20,25
30363,2,6,2000,3,OT,M,21,26
30506,3,5,2000,3,OT,M,20,29
30803,6,4,2000,3,OT,M,20,32
30990,7,2,2000,3,OT,M,19,22
31274,8,26,2000,3,OT,M,19,25
31445,9,31,2000,3,OT,F,20,27
31556,11,26,2000,3,OT,M,19,25
31671,12,23,2000,3,OT,M,21,29
31754,1,22,2001,3,OT,M,21,25
31755,1,22,2001,3,OT,F,21,25
32088,5,27,2001,3,OT,F,21,25
32089,5,27,2001,3,OT,F,21,35
32263,7,22,2001,3,OT,M,21,31
32486,8,26,2001,3,OT,M,20,24
32693,9,23,2001,3,OT,M,20,21
32694,9,23,2001,3,OT,M,21,24
32707,9,23,2001,3,OT,F,21,30
32893,10,14,2001,3,OT,M,21,23
32898,10,14,2001,3,OT,M,20,22
32899,10,14,2001,3,OT,F,20,22
32901,10,14,2001,3,OT,M,21,25
33119,11,18,2001,3,OT,M,20,24
33120,11,18,2001,3,OT,F,21,22
33122,11,18,2001,3,OT,M,21,26
33420,2,9,2002,3,OT,F,21,24
33432,2,9,2002,3,OT,M,21,30
33863,4,17,2002,3,OT,M,21,31
34535,7,14,2002,3,OT,F,18,28
34538,7,14,2002,3,OT,F,21,28
35495,12,31,2002,3,OT,F,19,27
32704,9,23,2001,3,DO,F,36,53
32907,10,14,2001,3,DO,F,35,55
33131,11,18,2001,3,DO,F,35,51
33425,2,9,2002,3,DO,F,34,51
33431,2,9,2002,3,DO,M,36,49
33434,2,9,2002,3,DO,F,36,53
33644,3,14,2002,3,DO,M,36,56
33650,3,14,2002,3,DO,M,35,53
33851,4,17,2002,3,DO,M,36,47
33857,4,17,2002,3,DO,M,36,53
33859,4,17,2002,3,DO,F,36,56
34049,5,16,2002,3,DO,F,35,55
34063,5,16,2002,3,DO,M,36,52
34065,5,16,2002,3,DO,M,36,32
34066,5,16,2002,3,DO,M,37,29
34288,6,16,2002,3,DO,F,35,55
34872,10,6,2002,3,OL,M,20,24
33436,2,9,2002,3,PM,M,20,19
30221,1,10,2000,3,PB,F,25,29
30222,1,10,2000,3,PB,M,26,36
30223,1,10,2000,3,PB,F,26,30
30224,1,10,2000,3,PB,F,26,28
30226,1,10,2000,3,PB,M,27,52
30358,2,6,2000,3,PB,M,27,51
30360,2,6,2000,3,PB,F,27,38
30361,2,6,2000,3,PB,M,26,39
30362,2,6,2000,3,PB,F,24,26
30364,2,6,2000,3,PB,F,28,33
30502,3,5,2000,3,PB,F,26,43
30503,3,5,2000,3,PB,F,26,29
30504,3,5,2000,3,PB,F,27,40
30505,3,5,2000,3,PB,M,27,49
30716,4,31,2000,3,PB,F,24,35
30717,4,31,2000,3,PB,M,26,27
30718,4,31,2000,3,PB,F,26,30
30719,4,31,2000,3,PB,M,26,27
30804,6,4,2000,3,PB,F,25,31
30805,6,4,2000,3,PB,M,26,25
30806,6,4,2000,3,PB,F,26,32
30807,6,4,2000,3,PB,M,26,22
30808,6,4,2000,3,PB,F,26,34
30810,6,4,2000,3,PB,F,26,22
30811,6,4,2000,3,PB,M,26,21
30812,6,4,2000,3,PB,F,26,36
30813,6,4,2000,3,PB,F,26,33
30814,6,4,2000,3,PB,M,26,36
30815,6,4,2000,3,PB,M,25,20
30988,7,2,2000,3,PB,M,26,31
30989,7,2,2000,3,PB,M,26,32
30991,7,2,2000,3,PB,M,26,23
30992,7,2,2000,3,PB,M,24,40
30994,7,2,2000,3,PB,F,25,33
30995,7,2,2000,3,PB,F,24,34
30996,7,2,2000,3,PB,F,25,37
30998,7,2,2000,3,PB,M,25,26
31159,7,22,2000,3,PB,M,26,41
31160,7,22,2000,3,PB,M,26,28
31161,7,22,2000,3,PB,M,26,19
31162,7,22,2000,3,PB,F,26,31
31163,7,22,2000,3,PB,M,26,31
31164,7,22,2000,3,PB,F,26,32
31165,7,22,2000,3,PB,F,25,28
31166,7,22,2000,3,PB,M,27,31
31178,7,23,2000,3,PB,F,26,35
31179,7,23,2000,3,PB,F,25,30
31273,8,26,2000,3,PB,F,25,32
31275,8,26,2000,3,PB,F,26,31
31277,8,26,2000,3,PB,F,25,31
31278,8,26,2000,3,PB,M,26,30
31279,8,26,2000,3,PB,M,28,31
31280,8,26,2000,3,PB,F,26,34
31443,9,31,2000,3,PB,F,25,28
31444,9,31,2000,3,PB,M,25,29
31446,9,31,2000,3,PB,F,25,32
31447,9,31,2000,3,PB,M,26,32
31448,9,31,2000,3,PB,M,27,32
31557,11,26,2000,3,PB,M,26,32
31558,11,26,2000,3,PB,M,27,31
31559,11,26,2000,3,PB,F,25,29
31561,11,26,2000,3,PB,M,26,28
31562,11,26,2000,3,PB,M,27,32
31667,12,23,2000,3,PB,M,26,42
31669,12,23,2000,3,PB,F,25,30
31670,12,23,2000,3,PB,M,26,28
31672,12,23,2000,3,PB,M,26,35
31751,1,22,2001,3,PB,M,25,40
31752,1,22,2001,3,PB,F,25,30
31753,1,22,2001,3,PB,M,26,40
31756,1,22,2001,3,PB,M,26,29
31888,3,25,2001,3,PB,M,26,34
31889,3,25,2001,3,PB,F,27,36
31890,3,25,2001,3,PB,M,27,44
31991,4,22,2001,3,PB,F,27,40
31992,4,22,2001,3,PB,M,24,34
32090,5,27,2001,3,PB,M,28,30
32254,7,22,2001,3,PB,M,28,37
32255,7,22,2001,3,PB,M,26,32
32257,7,22,2001,3,PB,M,26,20
32258,7,22,2001,3,PB,F,26,21
32259,7,22,2001,3,PB,M,27,37
32260,7,22,2001,3,PB,M,26,39
32261,7,22,2001,3,PB,M,26,33
32262,7,22,2001,3,PB,F,27,27
32265,7,22,2001,3,PB,F,26,30
32482,8,26,2001,3,PB,M,26,40
32484,8,26,2001,3,PB,M,27,33
32485,8,26,2001,3,PB,M,26,34
32487,8,26,2001,3,PB,M,28,42
32488,8,26,2001,3,PB,F,25,28
32489,8,26,2001,3,PB,M,27,42
32697,9,23,2001,3,PB,M,27,35
32698,9,23,2001,3,PB,F,26,34
32699,9,23,2001,3,PB,M,26,35
32700,9,23,2001,3,PB,F,25,28
32701,9,23,2001,3,PB,M,27,40
32703,9,23,2001,3,PB,M,27,49
32705,9,23,2001,3,PB,M,27,41
32706,9,23,2001,3,PB,F,26,27
32894,10,14,2001,3,PB,F,27,32
32897,10,14,2001,3,PB,F,25,28
32900,10,14,2001,3,PB,F,27,29
32903,10,14,2001,3,PB,M,27,49
32905,10,14,2001,3,PB,M,26,35
32906,10,14,2001,3,PB,M,28,42
32908,10,14,2001,3,PB,F,26,34
32909,10,14,2001,3,PB,M,26,37
33115,11,18,2001,3,PB,F,26,29
33116,11,18,2001,3,PB,F,27,32
33118,11,18,2001,3,PB,M,28,47
33124,11,18,2001,3,PB,M,27,37
33125,11,18,2001,3,PB,F,25,30
33126,11,18,2001,3,PB,F,26,32
33127,11,18,2001,3,PB,F,27,34
33128,11,18,2001,3,PB,M,27,38
33416,2,9,2002,3,PB,M,26,44
33418,2,9,2002,3,PB,F,26,26
33421,2,9,2002,3,PB,F,26,28
33422,2,9,2002,3,PB,M,30,55
33427,2,9,2002,3,PB,M,26,41
33430,2,9,2002,3,PB,F,26,32
33433,2,9,2002,3,PB,F,27,32
33642,3,14,2002,3,PB,F,27,31
33643,3,14,2002,3,PB,F,26,32
33645,3,14,2002,3,PB,F,25,31
33648,3,14,2002,3,PB,M,29,55
33649,3,14,2002,3,PB,M,26,41
33651,3,14,2002,3,PB,M,26,40
33653,3,14,2002,3,PB,F,26,39
33852,4,17,2002,3,PB,M,27,51
33853,4,17,2002,3,PB,F,26,38
33854,4,17,2002,3,PB,M,26,39
33855,4,17,2002,3,PB,F,26,34
33856,4,17,2002,3,PB,F,26,39
33861,4,17,2002,3,PB,F,25,32
34048,5,16,2002,3,PB,F,26,17
34051,5,16,2002,3,PB,F,27,39
34054,5,16,2002,3,PB,M,27,48
34055,5,16,2002,3,PB,F,26,32
34056,5,16,2002,3,PB,F,25,18
34061,5,16,2002,3,PB,M,27,37
34062,5,16,2002,3,PB,M,29,39
34289,6,16,2002,3,PB,F,27,32
34293,6,16,2002,3,PB,M,26,34
34296,6,16,2002,3,PB,M,26,36
34299,6,16,2002,3,PB,F,25,34
34532,7,14,2002,3,PB,F,25,34
34534,7,14,2002,3,PB,F,26,34
34537,7,14,2002,3,PB,M,27,42
34542,7,14,2002,3,PB,F,26,27
34543,7,14,2002,3,PB,F,27,33
34545,7,14,2002,3,PB,M,26,31
34546,7,14,2002,3,PB,M,27,35
34733,9,10,2002,3,PB,F,27,46
34734,9,10,2002,3,PB,M,28,45
34867,10,6,2002,3,PB,M,27,40
34868,10,6,2002,3,PB,M,28,48
34869,10,6,2002,3,PB,F,26,32
34870,10,6,2002,3,PB,F,26,36
34871,10,6,2002,3,PB,F,26,34
34873,10,6,2002,3,PB,F,25,33
34874,10,6,2002,3,PB,F,25,15
34875,10,6,2002,3,PB,M,26,39
34878,10,6,2002,3,PB,M,27,44
34879,10,6,2002,3,PB,F,26,17
35102,11,10,2002,3,PB,F,27,38
35103,11,10,2002,3,PB,M,26,49
35104,11,10,2002,3,PB,F,27,28
35105,11,10,2002,3,PB,F,27,23
35106,11,10,2002,3,PB,F,27,30
35107,11,10,2002,3,PB,F,26,25
35108,11,10,2002,3,PB,F,26,33
35109,11,10,2002,3,PB,M,28,49
35110,11,10,2002,3,PB,M,28,45
35111,11,10,2002,3,PB,M,27,44
35113,11,10,2002,3,PB,F,27,24
35285,12,8,2002,3,PB,F,26,26
35286,12,8,2002,3,PB,F,27,38
35287,12,8,2002,3,PB,F,26,29
35288,12,8,2002,3,PB,F,27,36
35289,12,8,2002,3,PB,M,26,49
35290,12,8,2002,3,PB,F,25,30
35291,12,8,2002,3,PB,F,25,25
35292,12,8,2002,3,PB,M,27,43
35293,12,8,2002,3,PB,F,26,26
35294,12,8,2002,3,PB,F,26,34
35295,12,8,2002,3,PB,M,27,46
35491,12,31,2002,3,PB,M,26,46
35492,12,31,2002,3,PB,F,26,26
35493,12,31,2002,3,PB,F,26,34
35494,12,31,2002,3,PB,M,28,43
32356,7,22,2001,15,NL,F,26,146
34395,6,16,2002,15,DM,M,36,35
34654,7,14,2002,15,DM,F,36,42
34926,10,6,2002,15,DM,F,36,46
34936,10,6,2002,15,DM,M,37,45
32029,4,22,2001,15,PF,F,16,9
32148,5,27,2001,15,PF,F,16,8
34937,10,6,2002,15,PE,F,19,28
35374,12,8,2002,15,PE,F,20,20
30276,1,10,2000,15,PP,F,21,16
30278,1,10,2000,15,PP,M,21,16
30279,1,10,2000,15,PP,F,20,14
30415,2,6,2000,15,PP,F,21,15
30416,2,6,2000,15,PP,F,19,14
30417,2,6,2000,15,PP,F,22,16
30569,3,5,2000,15,PP,F,21,13
30570,3,5,2000,15,PP,F,21,14
30571,3,5,2000,15,PP,M,22,17
30572,3,5,2000,15,PP,M,23,21
30573,3,5,2000,15,PP,M,23,22
30574,3,5,2000,15,PP,F,21,16
30575,3,5,2000,15,PP,M,22,20
30671,4,31,2000,15,PP,M,22,19
