"","Master.Incident.Number","Response.Date","Response.Type","Location.Name","Responding.Unit","Location.Address"
"22","123116-0385",2016-12-31 14:35:00,"EMS","","E4","1510 Nw 35th Ter
(29.666951, -82.374752)"
"23","123116-0361",2016-12-31 14:03:00,"EMS","Pine Grove Apartments","SQ1","1901 Ne 2nd St
(29.66945, -82.319981)"
"24","123116-0352",2016-12-31 13:53:00,"EMS","Walmart (42nd St)","SQ2","2900 Sw 42nd St
(29.627726, -82.388027)"
"25","123116-0341",2016-12-31 13:41:00,"EMS","Spanish Trace Apartments","E2","3500 Windmeadows Blvd
(29.628928, -82.374501)"
"26","123116-0337",2016-12-31 13:32:00,"EMS","","SQ1","1035 Sw 9th St
(29.641843, -82.332765)"
"27","123116-0273",2016-12-31 11:47:00,"EMS","Southwest Villas","SQ2","3643 Sw 20th Av
(29.633487, -82.377687)"
"28","123116-0257",2016-12-31 11:27:00,"EMS","Mothers Pub & Grill","SQ1","1017 W University Av
(29.651902, -82.335772)"
"29","123116-0250",2016-12-31 11:12:00,"EMS","Fresenius Medical Care (NMS2) -HCF","E3","1961 N Main St
(29.670652, -82.321861)"
"30","123116-0242",2016-12-31 10:53:00,"EMS","Pine Meadows Apartments","E3","2626 E University Av
(29.652578, -82.290934)"
"31","123116-0223",2016-12-31 10:21:00,"EMS","","E5","Ne 39th Av / Ne 12th St
(29.688378, -82.310433)"
"32","123116-0222",2016-12-31 10:15:00,"ALM","West 20 Apartments","Q2","3527 Sw 20th Av
(29.63332, -82.375408)"
"33","123116-0217",2016-12-31 10:00:00,"EMS","","E7","5714 Nw 45th Dr
(29.706625, -82.392593)"
"34","123116-0169",2016-12-31 07:34:00,"EMS","Atrium at Gville","E4","2431 Nw 41st St
(29.675146, -82.38446)"
"35","123116-0164",2016-12-31 07:15:00,"EMS","Woodland Terrace Apartments","E2","4100 Sw 31st Dr
(29.616634, -82.369672)"
"36","123116-0161",2016-12-31 07:05:00,"ALM","Depot Park","TW1","201 Se Depot Av
(29.644981, -82.323122)"
"37","123116-0131",2016-12-31 04:59:00,"EMS","","E4","805 Nw 36th Ter
(29.659879, -82.376822)"
"38","123116-0125",2016-12-31 04:31:00,"ALM","Lexington Crossing Phase II","Q2","3900 Sw 27th St
(29.614543, -82.363537)"
"39","123116-0115",2016-12-31 04:04:00,"EMS","Pinewood Terrace Apartments","E7","4229 Nw 43rd St
(29.693499, -82.388065)"
"40","123116-0086",2016-12-31 02:52:00,"EMS","Dignity Campgrounds","E3","3035 Ne 28th Dr
(29.677242, -82.290818)"
"41","123116-0043",2016-12-31 01:30:00,"FIRE","Villa Ravine Apartments","E1","1500 Nw 16th Av
(29.667362, -82.342071)"
"42","123116-0039",2016-12-31 01:18:00,"EMS","","E4","1510 Nw 35th Ter
(29.666951, -82.374752)"
"43","123116-0030",2016-12-31 01:01:00,"FIRE","","E5","1946 Nw 40th Pl
(29.690192, -82.348939)"
"44","123116-0015",2016-12-31 00:41:00,"EMS","Hope Lodge 16 st","E2","2121 Sw 16th St
(29.632933, -82.342919)"
"45","123016-0902",2016-12-30 22:43:00,"EMS","Weston Square Apartments","E4","3461 Sw 2nd Av
(29.649091, -82.374567)"
"46","123016-0899",2016-12-30 22:43:00,"FIRE","","TW1","2801 Ne 53rd Ct
(29.676154, -82.261007)"
"47","123016-0886",2016-12-30 22:13:00,"EMS","Hidden Village Apt (O6)","E2","2725 Sw 27th Av
(29.62561, -82.364468)"
"48","123016-0839",2016-12-30 21:03:00,"EMS","","Q8","4405 Nw 29th Ter
(29.694868, -82.366608)"
"49","123016-0817",2016-12-30 20:20:00,"EMS","Grace Marketplace","E3","3055 Ne 28th Dr
(29.679606, -82.286588)"
"50","123016-0815",2016-12-30 20:16:00,"EMS","","Q8","5519 Nw 34th St
(29.705548, -82.371904)"
"51","123016-0810",2016-12-30 20:08:00,"EMS","Archer Beauty Supply (34th St)","E2","3501 Sw 34th St
(29.62297, -82.372352)"
"52","123016-0802",2016-12-30 19:58:00,"EMS","Checkers 13th St","E5","2826 Nw 13th St
(29.67851, -82.339512)"
"53","123016-0785",2016-12-30 19:41:00,"EMS","","Q8","6007 Nw 23rd Ter
(29.709739, -82.358994)"
"54","123016-0764",2016-12-30 19:16:00,"EMS","","SQ2","301 Nw 30th St
(29.654128, -82.367028)"
"55","123016-0763",2016-12-30 19:15:00,"EMS","","E4","3321 Nw 18th Av
(29.66802, -82.371812)"
"56","123016-0753",2016-12-30 19:03:00,"EMS","Sweetwater At Duck Pond Assisted Living","SQ1","207 Ne 7th St
(29.653477, -82.317318)"
"57","123016-0748",2016-12-30 19:01:00,"EMS","","E3","703 Ne 9th St
(29.658031, -82.314505)"
"58","123016-0709",2016-12-30 18:23:00,"EMS","Outback Steakhouse","SQ2","3760 Sw Archer Rd
(29.621022, -82.380044)"
"59","123016-0691",2016-12-30 17:55:00,"EMS","VA Hospital -MCF","E2","1601 Sw Archer Rd
(29.637173, -82.344398)"
"60","123016-0652",2016-12-30 17:01:00,"EMS","Sunshine Park Apartments","E5","1901 Nw 2nd St
(29.669356, -82.325703)"
"61","123016-0646",2016-12-30 16:48:00,"EMS","Grace Marketplace","E3","3055 Ne 28th Dr
(29.679606, -82.286588)"
"62","123016-0626",2016-12-30 16:16:00,"FIRE","Gator Paint and Decorating","Q8","5220 Nw 34th Blvd
(29.702502, -82.36658)"
"63","123016-0623",2016-12-30 16:13:00,"FIRE","","E1","Nw 16th Av / Nw 22nd St
(29.666737, -82.352908)"
"64","123016-0596",2016-12-30 15:44:00,"EMS","Perkins Restaurant","E4","6825 W Newberry Rd
(29.659669, -82.41532)"
"65","123016-0589",2016-12-30 15:33:00,"EMS","","Q8","4620 Nw 37th Way
(29.697331, -82.379021)"
"66","123016-0584",2016-12-30 15:24:00,"EMS","Cardiac And Vascular Institute -HCF","E4","4645 Nw 8th Av
(29.659113, -82.392851)"
"67","123016-0578",2016-12-30 15:16:00,"EMS","PALM GARDENS - HCF","SQ2","227 Sw 62nd Blvd
(29.650557, -82.406858)"
"68","123016-0574",2016-12-30 15:12:00,"EMS","Park Meadows -HCF","E2","3250 Sw 41st Pl
(29.616024, -82.37026)"
"69","123016-0573",2016-12-30 15:10:00,"EMS","","E7","4100 Nw 48th Pl
(29.699434, -82.386764)"
"70","123016-0563",2016-12-30 15:00:00,"FIRE","","E2","3700 Sw Archer Rd
(29.621462, -82.378554)"
"71","123016-0559",2016-12-30 14:57:00,"EMS","","SQ1","604 3RD ST SE
(29.646452, -82.322308)"
"72","123016-0551",2016-12-30 14:51:00,"EMS","","Q8","3540 Nw 37th Av
(29.687445, -82.373324)"
"73","123016-0528",2016-12-30 14:26:00,"EMS","Andaz Indian Restaurant","SQ1","12 W University Av
(29.652214, -82.32562)"
"74","123016-0463",2016-12-30 13:24:00,"EMS","","E4","805 Nw 36th Ter
(29.659879, -82.376822)"
"75","123016-0447",2016-12-30 13:09:00,"EMS","Peach Valley Cafe","E2","3275 Sw 34th St
(29.624487, -82.371169)"
"76","123016-0419",2016-12-30 12:36:00,"EMS","","Q8","3401 Nw 27th St
(29.684412, -82.362536)"
"77","123016-0389",2016-12-30 12:00:00,"EMS","Winn Dixie (SW 34th)","E2","2002 Sw 34th St
(29.634243, -82.372488)"
"78","123016-0364",2016-12-30 11:23:00,"EMS","","E5","1925 Nw 27th Ter
(29.670228, -82.363125)"
"79","123016-0305",2016-12-30 10:06:00,"EMS","Robert's Stadium Club","SQ1","1800 W University Av
(29.65235, -82.346531)"
"80","123016-0297",2016-12-30 09:52:00,"EMS","Library Downtown Branch","SQ1","401 E University Av
(29.651442, -82.321547)"
"81","123016-0249",2016-12-30 09:03:00,"EMS","","E5","1909 Nw 32nd Pl
(29.682729, -82.347565)"
"82","123016-0209",2016-12-30 08:05:00,"EMS","GPD Gainesville Police Department","SQ1","545 Nw 8th Av
(29.659227, -82.330312)"
"83","123016-0199",2016-12-30 07:54:00,"ALM","Gainesville Place Apartments","Q2","2800 Sw 35th Pl
(29.62, -82.364459)"
"84","123016-0169",2016-12-30 06:52:00,"ALM","Westwood Hills Church Of God","Q8","1520 Nw 34th St
(29.665582, -82.373022)"
"85","123016-0146",2016-12-30 05:40:00,"FIRE","","E5","Nw 39th Av / Nw 6th St
(29.688536, -82.330881)"
"86","123016-0142",2016-12-30 05:26:00,"EMS","","E4","1510 Nw 35th Ter
(29.666951, -82.374752)"
"87","123016-0130",2016-12-30 04:28:00,"EMS","","E5","1617 Nw 45th Av
(29.695016, -82.343552)"
"88","123016-0126",2016-12-30 04:21:00,"EMS","Forest Green Apartments","E3","3501 Ne 15th St
(29.683956, -82.305108)"
"89","123016-0099",2016-12-30 02:55:00,"ALM","Westwood Hills Church Of God","Q8","1520 Nw 34th St
(29.665582, -82.373022)"
"90","123016-0084",2016-12-30 02:18:00,"EMS","","E3","2327 Ne 57th Blvd
(29.674048, -82.258076)"
"91","123016-0057",2016-12-30 01:35:00,"FIRE","","Q8","2523 Nw 64th Pl
(29.713839, -82.361226)"
"92","123016-0022",2016-12-30 00:30:00,"EMS","Oak Hammock IL 5000-3122 SW 25th Blvd","E2","5000 Sw 25th Blvd
(29.60623, -82.361534)"
"93","123016-0011",2016-12-30 00:19:00,"EMS","GPD","SQ1","413 Nw 8th Av
(29.659191, -82.329665)"
"94","122916-0899",2016-12-29 21:40:00,"EMS","Turkey Creek Forest Mobile Home Park","E7","8620 Nw 13th St
(29.734273, -82.38453)"
"95","122916-0895",2016-12-29 21:34:00,"EMS","Greyhound Bus Station","E5","101 Ne 23rd Av
(29.673656, -82.32338)"
"96","122916-0890",2016-12-29 21:22:00,"EMS","Woodland Park Apartments","SQ1","1900 Se 4th St
(29.632092, -82.318584)"
"97","122916-0866",2016-12-29 20:38:00,"EMS","Rocky Point Senior Community (apt a)","E2","3242 Sw 35th Pl
(29.622011, -82.371032)"
"98","122916-0861",2016-12-29 20:28:00,"FIRE","","E5","1400 39TH AV NW
(29.68855, -82.340549)"
"99","122916-0860",2016-12-29 20:23:00,"EMS","Leonardos 706","SQ1","706 W University Av
(29.652452, -82.331878)"
"100","122916-0851",2016-12-29 20:13:00,"EMS","Signature Healthcare -HCF","SQ2","4000 Sw 20th Av
(29.634982, -82.383394)"
"101","122916-0831",2016-12-29 19:57:00,"EMS","Dignity Campgrounds","E3","3035 Ne 28th Dr
(29.677242, -82.290818)"
"102","122916-0824",2016-12-29 19:50:00,"ALM","North FL Regional Medical Center -MCF","E4","6500 W Newberry Rd
(29.660835, -82.411768)"
"103","122916-0811",2016-12-29 19:38:00,"EMS","Publix, The Exchange","Q8","3720 Nw 13th St
(29.687245, -82.340583)"
"104","122916-0799",2016-12-29 19:27:00,"EMS","","E5","Nw 16th Av / Nw 13th St
(29.666676, -82.339157)"
"105","122916-0777",2016-12-29 18:50:00,"ALM","","TW1","920 Sw 6th St
(29.642579, -82.331183)"
"106","122916-0754",2016-12-29 18:24:00,"EMS","GFR Station 7","E7","5601 Nw 43rd St
(29.706375, -82.388101)"
"107","122916-0746",2016-12-29 18:16:00,"EMS","","E5","29TH / NW 13TH ST NW
RD
(29.679143, -82.339092)"
"108","122916-0740",2016-12-29 18:11:00,"EMS","Addison Lane Apts (41)","SQ2","4117 Sw 20th Av
(29.633262, -82.386274)"
"109","122916-0717",2016-12-29 17:35:00,"EMS","Walmart Super Center (Waldo Rd)","E3","1800 Ne 12th Av
(29.663982, -82.300795)"
"110","122916-0696",2016-12-29 17:01:00,"EMS","French Courtyard Apartments","SQ1","110 Se 8th St
(29.650645, -82.316845)"
"111","122916-0691",2016-12-29 16:55:00,"SVC","Chelsea Apartments","E3","2510 Ne 9th St
(29.675557, -82.315646)"
"112","122916-0649",2016-12-29 16:23:00,"EMS","Hunters Crossing Place","E7","4601 Nw 53rd Av
(29.702147, -82.391597)"
"113","122916-0644",2016-12-29 16:15:00,"ALM","","TW1","920 Sw 6th St
(29.642579, -82.331183)"
"114","122916-0593",2016-12-29 15:21:00,"EMS","Orthopaedic Institute","E4","4500 Newberry Rd
(29.657149, -82.392219)"
"115","122916-0559",2016-12-29 14:47:00,"EMS","","E5","1221 21ST ST NE
(29.663789, -82.297862)"
"116","122916-0550",2016-12-29 14:43:00,"EMS","","E3","1221 21ST ST NE
(29.663789, -82.297862)"
"117","122916-0548",2016-12-29 14:42:00,"EMS","VA Honor Center","SQ1","1604 Se 3rd Av
(29.64947, -82.304048)"
"118","122916-0537",2016-12-29 14:29:00,"EMS","Woodland Park Apartments","SQ1","1900 Se 4th St
(29.632092, -82.318584)"
"119","122916-0526",2016-12-29 14:12:00,"EMS","Orthopaedic Outpatient","E4","4600 Newberry Rd
(29.657335, -82.392321)"
"120","122916-0518",2016-12-29 14:05:00,"FIRE","","E1","Se 15th St / Se Hawthorne Rd
(29.651216, -82.305839)"
"121","122916-0502",2016-12-29 13:51:00,"EMS","Tacachale Health Clinic - HCF","E3","1950 Ne 23rd St
(29.669776, -82.295126)"
"122","122916-0494",2016-12-29 13:40:00,"EMS","Hidden Village Apt (O6)","Q2","2725 Sw 27th Av
(29.62561, -82.364468)"
"123","122916-0485",2016-12-29 13:31:00,"EMS","St Francis House","SQ1","413 S Main St
(29.648078, -82.32461)"
"124","122916-0483",2016-12-29 13:30:00,"EMS","Carespot (Archer Rd)","E2","3581 Sw Archer Rd
(29.622855, -82.37628)"
"125","122916-0463",2016-12-29 13:02:00,"EMS","Shands Medical Plaza -HCF","Q2","2000 Sw Archer Rd
(29.636934, -82.350372)"
"126","122916-0444",2016-12-29 12:44:00,"FIRE","","Q8","Nw 29th Ter / Nw 39th Av
(29.688632, -82.365971)"
"127","122916-0435",2016-12-29 12:35:00,"FIRE","","Q2","4200 Sw 34th St
(29.6141, -82.372507)"
"128","122916-0425",2016-12-29 12:27:00,"EMS","","E3","1321 Ne 18th Av
(29.668188, -82.307734)"
"129","122916-0385",2016-12-29 11:30:00,"FIRE","","TW1","1714 Ne 4th Av
(29.654947, -82.302455)"
"130","122916-0362",2016-12-29 11:05:00,"EMS","Westwood Hills","E4","1510 Nw 35th Ter
(29.666951, -82.374752)"
"131","122916-0242",2016-12-29 09:17:00,"FIRE","","E5","1009 31ST AV NW
(29.680909, -82.335046)"
"132","122916-0241",2016-12-29 09:16:00,"EMS","","E3","837 Se 12th St
(29.64395, -82.310939)"
"133","122916-0222",2016-12-29 08:51:00,"EMS","","E2","2970 Sw 40th Av
(29.613997, -82.3673)"
"134","122916-0213",2016-12-29 08:43:00,"EMS","City Auto Repair","E5","4488 Nw 6th St
(29.695531, -82.335558)"
"135","122916-0183",2016-12-29 08:16:00,"EMS","Gainesville Healthcare - HCF","SQ2","4842 Sw Archer Rd
(29.612967, -82.395203)"
"136","122916-0146",2016-12-29 07:02:00,"EMS","","E3","1321 Ne 18th Av
(29.668188, -82.307734)"
"137","122916-0109",2016-12-29 04:55:00,"EMS","","E4","1510 Nw 35th Ter
(29.666951, -82.374752)"
"138","122916-0107",2016-12-29 04:48:00,"EMS","","E3","1318 Ne 39th Av
(29.68887, -82.308774)"
"139","122916-0096",2016-12-29 04:22:00,"EMS","","E5","4322 Nw 20th Dr
(29.694577, -82.350828)"
"140","122916-0061",2016-12-29 01:53:00,"EMS","Atlantic","SQ1","15 N Main St
(29.652323, -82.324854)"
"141","122916-0022",2016-12-29 00:20:00,"EMS","Walmart Super Center (23rd St)","Q8","5700 Nw 23rd St
(29.708353, -82.356295)"
"142","122916-0016",2016-12-29 00:13:00,"EMS","Whitney MHP","E7","8401 Nw 13th St
(29.733262, -82.376951)"
"143","122816-1048",2016-12-28 23:42:00,"EMS","Pointe 23 Apt (D46)","E5","740 Ne 23rd Av
(29.674047, -82.317391)"
"144","122816-0979",2016-12-28 22:15:00,"EMS","Walgreens Pharmacy (16th Av/ 13th St)","E5","1615 Nw 13th St
(29.667188, -82.338766)"
"145","122816-0954",2016-12-28 21:35:00,"EMS","Sunshine Inn","E5","4155 Nw 13th St
(29.692084, -82.338697)"
"146","122816-0924",2016-12-28 21:06:00,"EMS","Brookdale (frmr Emeritus)","SQ2","1001 Sw 62nd Blvd
(29.642145, -82.397365)"
"147","122816-0895",2016-12-28 20:20:00,"EMS","Dignity Campgrounds","E3","3035 28TH DR NE
(29.677242, -82.290818)"
"148","122816-0888",2016-12-28 20:14:00,"EMS","Circle K (wua)","SQ1","1255 W University Av
(29.651753, -82.338903)"
"149","122816-0853",2016-12-28 19:16:00,"EMS","Peaceful Paths Inc","Q8","2100 Nw 53rd Av
(29.703885, -82.351837)"
"150","122816-0840",2016-12-28 19:02:00,"EMS","Circle K (3525 sw34th st)","E2","3525 Sw 34th St
(29.622275, -82.372079)"
"151","122816-0777",2016-12-28 17:37:00,"EMS","Walmart Super Center (Waldo Rd)","TW1","1800 Ne 12th Av
(29.663982, -82.300795)"
"152","122816-0774",2016-12-28 17:36:00,"EMS","Shands Medical Plaza -HCF","Q2","2000 Sw Archer Rd
(29.636934, -82.350372)"
"153","122816-0760",2016-12-28 17:19:00,"EMS","Pine Grove Apartments","E2","1901 Ne 2nd St
(29.66945, -82.319981)"
"154","122816-0750",2016-12-28 17:07:00,"EMS","Sunshine Park Apartments","SQ1","1901 Nw 2nd St
(29.669356, -82.325703)"
"155","122816-0720",2016-12-28 16:33:00,"FIRE","","E1","1200 Ne Waldo Rd
(29.663143, -82.304039)"
"156","122816-0699",2016-12-28 16:10:00,"EMS","Oak Park High Rise","SQ1","100 Ne 8th Av
(29.659622, -82.324003)"
"157","122816-0698",2016-12-28 16:07:00,"EMS","Grace Marketplace","E3","3055 Ne 28th Dr
(29.679606, -82.286588)"
"158","122816-0690",2016-12-28 15:55:00,"EMS","PALM GARDENS - HCF","SQ2","227 Sw 62nd Blvd
(29.650557, -82.406858)"
"159","122816-0661",2016-12-28 15:16:00,"EMS","PALM GARDENS - HCF","SQ2","227 Sw 62nd Blvd
(29.650557, -82.406858)"
"160","122816-0644",2016-12-28 14:56:00,"EMS","","E3","715 Ne 23rd St
(29.658417, -82.294434)"
"161","122816-0598",2016-12-28 14:06:00,"EMS","Grace Marketplace","E3","3055 Ne 28th Dr
(29.679606, -82.286588)"
"162","122816-0556",2016-12-28 13:06:00,"EMS","Circle K/Mobil (20 newr)","E3","20 Ne Waldo Rd
(29.652543, -82.311337)"
"163","122816-0555",2016-12-28 13:04:00,"EMS","","E1","1011 Se 7th Av
(29.645662, -82.313608)"
"164","122816-0548",2016-12-28 12:57:00,"EMS","","E4","1510 Nw 35th Ter
(29.666951, -82.374752)"
"165","122816-0528",2016-12-28 12:40:00,"EMS","","E3","913 Ne 19th St
(29.660596, -82.300383)"
"166","122816-0521",2016-12-28 12:34:00,"EMS","Archer Woods Apartments","Q2","3020 Sw Archer Rd
(29.629458, -82.368283)"
"167","122816-0487",2016-12-28 11:57:00,"EMS","Oak Park High Rise","E1","100 Ne 8th Av
(29.659622, -82.324003)"
"168","122816-0470",2016-12-28 11:39:00,"EMS","Whitney MHP (113)","E7","8401 Nw 13th St
(29.733262, -82.376951)"
"169","122816-0469",2016-12-28 11:36:00,"EMS","Florida Cancer Specialist -HCF","SQ2","6420 W Newberry Rd
(29.659611, -82.410739)"
"170","122816-0453",2016-12-28 11:22:00,"EMS","Depot Park","SQ1","201 Se Depot Av
(29.644981, -82.323122)"
"171","122816-0449",2016-12-28 11:21:00,"EMS","Fresenius Medical Care (NMS2) -HCF","E5","1961 N Main St
(29.670652, -82.321861)"
"172","122816-0410",2016-12-28 10:45:00,"EMS","","E4","900 43RD ST NW
(29.660517, -82.389067)"
"173","122816-0384",2016-12-28 10:24:00,"FIRE","DOJ Dept of the Jail","E5","3333 39TH AV NE
(29.679163, -82.27795)"
"174","122816-0369",2016-12-28 10:05:00,"EMS","Eastside Community Practice","E3","410 Ne Waldo Rd
(29.655325, -82.31012)"
"175","122816-0366",2016-12-28 10:02:00,"ALM","Bartram Apartments","Q2","2337 Sw Archer Rd
(29.63329, -82.357597)"
"176","122816-0357",2016-12-28 09:53:00,"FIRE","","E5","Nw 13th St / Nw 39th Av
(29.688501, -82.339012)"
"177","122816-0351",2016-12-28 09:47:00,"ALM","Plaza Royale Shopping A-East","Q2","3832 Newberry Rd
(29.653692, -82.381248)"
"178","122816-0329",2016-12-28 09:29:00,"EMS","Gardenia Gardens Bldg D","E3","1725 Ne 8th Av
(29.657676, -82.302206)"
"179","122816-0228",2016-12-28 07:46:00,"EMS","Choices Apartments","E5","2101 Ne 2nd St
(29.671689, -82.31956)"
"180","122816-0217",2016-12-28 07:41:00,"EMS","","E3","502 Se 15th St
(29.64706, -82.306097)"
"181","122816-0151",2016-12-28 06:11:00,"EMS","","SQ1","1715 Nw 8th Av
(29.659135, -82.345153)"
"182","122816-0077",2016-12-28 02:06:00,"EMS","Steak N Shake 13 St","E2","1610 Sw 13th St
(29.636071, -82.339812)"
"183","122816-0047",2016-12-28 01:17:00,"ALM","Park Meadows -HCF","Q2","3250 Sw 41st Pl
(29.616024, -82.37026)"
"184","122816-0036",2016-12-28 01:00:00,"ALM","Arbor Parks Apartments","TW1","309 Sw 16th Av
(29.635643, -82.329493)"
"185","122816-0017",2016-12-28 00:27:00,"EMS","Campus Walk Condominiums","SQ1","914 Sw 8th Av
(29.645049, -82.334125)"
"186","122816-0001",2016-12-28 00:02:00,"EMS","","SQ2","3944 Sw 17th Ln
(29.636988, -82.383303)"
"187","122716-0973",2016-12-27 22:57:00,"EMS","","E3","926 Ne 19th Pl
(29.670223, -82.313709)"
"188","122716-0956",2016-12-27 22:31:00,"EMS","Sleep Inn & Suites","SQ2","4110 Sw 40th Blvd
(29.616333, -82.383673)"
"189","122716-0938",2016-12-27 22:14:00,"ALM","Gatorland Toyota","TW1","2985 N Main St
(29.680138, -82.318563)"
"190","122716-0929",2016-12-27 22:02:00,"EMS","","SQ1","1391 Se 23rd Av
(29.630848, -82.307402)"
"191","122716-0856",2016-12-27 20:28:00,"EMS","Oak Ridge Apartments","E5","1120 Nw 45th Av
(29.69621, -82.337395)"
"192","122716-0817",2016-12-27 19:31:00,"EMS","","E3","1811 Se 14th Av
(29.637898, -82.300676)"
"193","122716-0774",2016-12-27 18:26:00,"EMS","Dignity Campgrounds","SQ1","3035 Ne 28th Dr
(29.677242, -82.290818)"
"194","122716-0764",2016-12-27 18:14:00,"ALM","Plaza Royale Shopping A-East","Q2","3832 Newberry Rd
(29.653692, -82.381248)"
"195","122716-0750",2016-12-27 18:03:00,"EMS","","E3","Ne Waldo Rd / Ne 39th Av
(29.684998, -82.289223)"
"196","122716-0709",2016-12-27 17:06:00,"EMS","Oak Park High Rise","E1","100 Ne 8th Av
(29.659622, -82.324003)"
"197","122716-0694",2016-12-27 16:50:00,"EMS","Oak Park High Rise","SQ1","100 Ne 8th Av
(29.659622, -82.324003)"
"198","122716-0682",2016-12-27 16:35:00,"ALM","","E3","2815 Ne 18th Dr
(29.678667, -82.301019)"
"199","122716-0671",2016-12-27 16:16:00,"EMS","","E5","1600 Nw 23rd Av
(29.674, -82.342902)"
"200","122716-0661",2016-12-27 16:08:00,"EMS","Georgetown Apartments","E5","1324 Nw 16th Av
(29.66695, -82.340606)"
"201","122716-0642",2016-12-27 15:43:00,"FIRE","","E5","Nw 14th Av / Nw 9th St
(29.664849, -82.33405)"
"202","122716-0632",2016-12-27 15:30:00,"EMS","","SQ1","508 Ne 4th Av
(29.654817, -82.320573)"
"203","122716-0584",2016-12-27 14:52:00,"EMS","Oak Ridge Apartments","E5","1120 Nw 45th Av
(29.69621, -82.337395)"
"204","122716-0577",2016-12-27 14:46:00,"EMS","Career Source of North Central FL","SQ1","10 Nw 6th St
(29.652089, -82.330829)"
"205","122716-0499",2016-12-27 13:17:00,"FIRE","","Q8","3330 Nw 24th Av
(29.67492, -82.371873)"
"206","122716-0486",2016-12-27 12:57:00,"EMS","Walmart Super Center (23rd St)","E7","5700 Nw 23rd St
(29.708353, -82.356295)"
"207","122716-0484",2016-12-27 12:55:00,"ALM","Plaza Royale Shopping A-East","Q2","3832 Newberry Rd
(29.653692, -82.381248)"
"208","122716-0458",2016-12-27 12:21:00,"EMS","Atrium at Gville","E7","2431 Nw 41st St
(29.675146, -82.38446)"
"209","122716-0447",2016-12-27 12:05:00,"EMS","St Francis House","E1","413 S Main St
(29.648078, -82.32461)"
"210","122716-0432",2016-12-27 11:51:00,"EMS","Wards Supermarket","E5","515 Nw 23rd Av
(29.673344, -82.329197)"
"211","122716-0427",2016-12-27 11:46:00,"ALM","Plaza Royale Shopping A-East","TW1","3832 Newberry Rd
(29.653692, -82.381248)"
"212","122716-0414",2016-12-27 11:28:00,"ALM","SiVance","E3","4044 Ne 54th Av
(29.705108, -82.274239)"
"213","122716-0413",2016-12-27 11:28:00,"FIRE","","E2","Sw Archer Rd / Sw 34th St
(29.626912, -82.372532)"
"214","122716-0395",2016-12-27 11:15:00,"EMS","","E4","204 Nw 20th Dr
(29.653573, -82.350982)"
