"YEAR","MONTH","DAY","TEMP","PRECIP","SEASON"
1984,5,8,81,0,"Spring"
1984,5,9,66,0,"Spring"
1984,5,10,63.5,0,"Spring"
1984,5,11,66.5,0,"Spring"
1984,5,12,71,0,"Spring"
1984,5,13,75.5,0,"Spring"
1984,5,14,77.5,0,"Spring"
1984,5,15,77.5,0,"Spring"
1984,5,16,72,0,"Spring"
1984,5,17,66.5,0,"Spring"
1984,5,18,66.5,0,"Spring"
1984,5,19,69.5,0,"Spring"
1984,5,20,74.5,0,"Spring"
1984,5,21,77.5,0,"Spring"
1984,5,22,80.5,0.77,"Spring"
1984,5,23,73,1.06,"Spring"
1984,5,24,75.5,1.9,"Spring"
1984,5,25,77.5,0.45,"Spring"
1984,5,26,77,0.42,"Spring"
1984,5,27,75,0,"Spring"
1984,5,28,78,0.71,"Spring"
1984,5,29,77,0.01,"Spring"
1984,5,30,68,0,"Spring"
1984,5,31,64.5,0,"Spring"
1984,6,1,65.5,0,"Spring"
1984,6,2,70.5,0,"Spring"
1984,6,3,77.5,0,"Spring"
1984,6,4,79,0,"Spring"
1984,6,5,77.5,0,"Spring"
1984,6,6,78.5,0,"Spring"
1984,6,7,79.5,0,"Spring"
1984,6,8,77.5,0,"Spring"
1984,6,9,77.5,0,"Spring"
1984,6,10,75,0,"Spring"
1984,6,11,80,0,"Spring"
1984,6,12,78,0,"Spring"
1984,6,13,75,0.03,"Spring"
1984,6,14,80,0.01,"Spring"
1984,6,15,79,0,"Spring"
1984,6,16,79.5,0.12,"Spring"
1984,6,17,78.5,0,"Spring"
1984,6,18,79.5,0,"Spring"
1984,6,19,82.5,0.14,"Spring"
1984,6,20,84.5,0.63,"Spring"
1984,6,21,82.5,0.13,"Spring"
1984,6,22,77,0.56,"Spring"
1984,6,23,80.5,0.01,"Spring"
1984,6,24,81,0,"Spring"
1984,6,25,81.5,0.01,"Spring"
1984,6,26,80.5,0.68,"Spring"
1984,6,27,80.5,0,"Spring"
1984,6,28,78.5,0.33,"Spring"
1984,6,29,76,0.42,"Spring"
1984,6,30,75,0.78,"Spring"
1984,7,1,78.5,0.81,"Summer"
1984,7,2,80,0.07,"Summer"
1984,7,3,78,0.03,"Summer"
1984,7,4,77.5,0,"Summer"
1984,7,5,80.5,0.12,"Summer"
1984,7,6,79.5,0,"Summer"
1984,7,7,81.5,0,"Summer"
1984,7,8,84,0,"Summer"
1984,7,9,83,0.63,"Summer"
1984,7,10,81,0,"Summer"
1984,7,11,81,1.07,"Summer"
1984,7,12,80.5,0,"Summer"
1984,7,13,82.5,0.16,"Summer"
1984,7,14,78.5,0,"Summer"
1984,7,15,80.5,0.44,"Summer"
1984,7,16,80.5,0,"Summer"
1984,7,17,81,0.07,"Summer"
1984,7,18,80.5,0.22,"Summer"
1984,7,19,73,0.38,"Summer"
1984,7,20,78,0.33,"Summer"
1984,7,21,78,0,"Summer"
1984,7,22,79.5,1.18,"Summer"
1984,7,23,78.5,0.25,"Summer"
1984,7,24,79.5,0.2,"Summer"
1984,7,25,81,0,"Summer"
1984,7,26,80.5,0,"Summer"
1984,7,27,79,0.13,"Summer"
1984,7,28,79.5,0,"Summer"
1984,7,29,78,0.67,"Summer"
1984,7,30,77,1.67,"Summer"
1984,7,31,80,0.41,"Summer"
1984,8,1,82.5,1.11,"Summer"
1984,8,2,82.5,0,"Summer"
1984,8,3,81.5,0,"Summer"
1984,8,4,83,0,"Summer"
1984,8,5,83.5,0,"Summer"
1984,8,6,84.5,0.11,"Summer"
1984,8,7,84,0,"Summer"
1984,8,8,85,0,"Summer"
1984,8,9,82,0,"Summer"
1984,8,10,84.5,0,"Summer"
1984,8,11,83,0,"Summer"
1984,8,12,80.5,0,"Summer"
1984,8,13,82,0.07,"Summer"
1984,8,14,81.5,0,"Summer"
1984,8,15,84,0.21,"Summer"
1984,8,16,84,0,"Summer"
1984,8,17,84.5,0.01,"Summer"
1984,8,18,82,0.01,"Summer"
1984,8,19,80,1.21,"Summer"
1984,8,20,78,0.14,"Summer"
1984,8,21,76,0.14,"Summer"
1984,8,22,78,0,"Summer"
1984,8,23,73,0.12,"Summer"
1984,8,24,79.5,0,"Summer"
1984,8,25,80.5,0.03,"Summer"
1984,8,26,78,0,"Summer"
1984,8,27,76,0,"Summer"
1984,8,28,76,0,"Summer"
1984,8,29,76,0,"Summer"
1984,8,30,78.5,0,"Summer"
1984,8,31,81,0,"Summer"
1984,9,1,84,0.6,"Summer"
1984,9,2,82,0,"Summer"
1984,9,3,79,0,"Summer"
1984,9,4,80.5,0.01,"Summer"
1984,9,5,75,0.02,"Summer"
1984,9,6,72,0.06,"Summer"
1984,9,7,73,0.01,"Summer"
1984,9,8,73.5,0.01,"Summer"
1984,9,9,74.5,0.29,"Summer"
1984,9,10,77.5,0,"Summer"
1984,9,11,79,0,"Summer"
1984,9,12,81,0,"Summer"
1984,9,13,81.5,0,"Summer"
1984,9,14,80,0,"Summer"
1984,9,15,80.5,0,"Summer"
1984,9,16,81,0.06,"Summer"
1984,9,17,75,0,"Summer"
1984,9,18,72.5,0.57,"Summer"
1984,9,19,73,0.01,"Summer"
1984,9,20,74,0,"Summer"
1984,9,21,75.5,0.06,"Summer"
1984,9,22,77,0,"Summer"
1984,9,23,77,0,"Summer"
1984,9,24,77.5,0,"Summer"
1984,9,25,76,0,"Summer"
1984,9,26,78,0,"Summer"
1984,9,27,75,0.37,"Summer"
1984,9,28,69.5,1.48,"Summer"
1984,9,29,72.5,0,"Summer"
1984,9,30,73,0,"Summer"
1984,10,1,65,0,"Fall"
1984,10,2,61.5,0,"Fall"
1984,10,3,63.5,0,"Fall"
1984,10,4,66.5,0,"Fall"
1984,10,5,70.5,0,"Fall"
1984,10,6,71,0,"Fall"
1984,10,7,73,0.01,"Fall"
1984,10,8,73.5,0.07,"Fall"
1984,10,9,73.5,0,"Fall"
1984,10,10,74,0.03,"Fall"
1984,10,11,72,0,"Fall"
1984,10,12,70,0,"Fall"
1984,10,13,69.5,0,"Fall"
1984,10,14,75,0,"Fall"
1984,10,15,74,0,"Fall"
1984,10,16,77.5,0,"Fall"
1984,10,17,75.5,0,"Fall"
1984,10,18,76.5,0,"Fall"
1984,10,19,76,0,"Fall"
1984,10,20,74,0,"Fall"
1984,10,21,76.5,0,"Fall"
1984,10,22,77,0,"Fall"
1984,10,23,75.5,0,"Fall"
1984,10,24,74,0,"Fall"
1984,10,25,74.5,0,"Fall"
1984,10,26,75.5,0.22,"Fall"
1984,10,27,78.5,0,"Fall"
1984,10,28,80,0.2,"Fall"
1984,10,29,78.5,0.18,"Fall"
1984,10,30,76,0.06,"Fall"
1984,10,31,75.5,0.04,"Fall"
1984,11,1,74,0.03,"Fall"
1984,11,2,73,0,"Fall"
1984,11,3,71.5,1.01,"Fall"
1984,11,4,73,0.08,"Fall"
1984,11,5,66,0.04,"Fall"
1984,11,6,57.5,0,"Fall"
1984,11,7,52.5,0,"Fall"
1984,11,8,57,0,"Fall"
1984,11,9,60,0,"Fall"
1984,11,10,65,0,"Fall"
1984,11,11,57.5,0.2,"Fall"
1984,11,12,48.5,0,"Fall"
1984,11,13,48.5,0,"Fall"
1984,11,14,51,0,"Fall"
1984,11,15,58,0,"Fall"
1984,11,16,61,0,"Fall"
1984,11,17,65,0,"Fall"
1984,11,18,66,0,"Fall"
1984,11,19,69.5,0.1,"Fall"
1984,11,20,59,0,"Fall"
1984,11,21,46.5,0.07,"Fall"
1984,11,22,40.5,1.19,"Fall"
1984,11,23,52,0.01,"Fall"
1984,11,24,58.5,0,"Fall"
1984,11,25,58,0,"Fall"
1984,11,26,64.5,0,"Fall"
1984,11,27,65.5,0,"Fall"
1984,11,28,55.5,0.17,"Fall"
1984,11,29,49.5,0,"Fall"
1984,11,30,50,0,"Fall"
1984,12,1,59.5,0,"Fall"
1984,12,2,63.5,0,"Fall"
1984,12,3,67.5,0,"Fall"
1984,12,4,63.5,0,"Fall"
1984,12,5,65.5,0.2,"Fall"
1984,12,6,55.5,0.01,"Fall"
1984,12,7,39,0,"Fall"
1984,12,8,44,0,"Fall"
1984,12,9,49,0,"Fall"
1984,12,10,55,0,"Fall"
1984,12,11,61.5,0,"Fall"
1984,12,12,59,0,"Fall"
1984,12,13,60,0,"Fall"
1984,12,14,65.5,0,"Fall"
1984,12,15,68.5,0,"Fall"
1984,12,16,67.5,0,"Fall"
1984,12,17,66,0,"Fall"
1984,12,18,65,0,"Fall"
1984,12,19,66,0,"Fall"
1984,12,20,62.5,0,"Fall"
1984,12,21,63,0,"Fall"
1984,12,22,65.5,0,"Fall"
1984,12,23,65.5,0,"Fall"
1984,12,24,66.5,0,"Fall"
1984,12,25,68.5,0,"Fall"
1984,12,26,66,0,"Fall"
1984,12,27,64.5,0,"Fall"
1984,12,28,70,0,"Fall"
1984,12,29,69,0,"Fall"
1984,12,30,68,0,"Fall"
1984,12,31,67,0,"Fall"
1985,1,1,69.5,0,"Winter"
1985,1,2,68.5,0,"Winter"
1985,1,3,66.5,0.51,"Winter"
1985,1,4,53,0,"Winter"
1985,1,5,40,0,"Winter"
1985,1,6,44,0,"Winter"
1985,1,7,51,0,"Winter"
1985,1,8,50.5,0,"Winter"
1985,1,9,48,0,"Winter"
1985,1,10,57.5,0,"Winter"
1985,1,11,57.5,0,"Winter"
1985,1,12,40,0,"Winter"
1985,1,13,43,0,"Winter"
1985,1,14,49.5,0,"Winter"
1985,1,15,46,0,"Winter"
1985,1,16,46,0,"Winter"
1985,1,17,59.5,0.15,"Winter"
1985,1,18,49.5,0,"Winter"
1985,1,19,51.5,0,"Winter"
1985,1,20,40,0.1,"Winter"
1985,1,21,19.5,0,"Winter"
1985,1,22,32,0,"Winter"
1985,1,23,43,0,"Winter"
1985,1,24,43.5,0.22,"Winter"
1985,1,25,56.5,0,"Winter"
1985,1,26,38.5,0,"Winter"
1985,1,27,42,0,"Winter"
1985,1,28,57,0.18,"Winter"
1985,1,29,49,0,"Winter"
1985,1,30,49,0.02,"Winter"
1985,1,31,70,0,"Winter"
1985,2,1,68,0,"Winter"
1985,2,2,67.5,0.13,"Winter"
1985,2,3,54,0.32,"Winter"
1985,2,4,49.5,0.18,"Winter"
1985,2,5,64.5,0,"Winter"
1985,2,6,62.5,0.7,"Winter"
1985,2,7,50.5,0.04,"Winter"
1985,2,8,44,0,"Winter"
1985,2,9,43,0,"Winter"
1985,2,10,50.5,0,"Winter"
1985,2,11,55.5,0.29,"Winter"
1985,2,12,44,0,"Winter"
1985,2,13,43,0,"Winter"
1985,2,14,45.5,0,"Winter"
1985,2,15,43.5,0,"Winter"
1985,2,16,44,0,"Winter"
1985,2,17,49,0,"Winter"
1985,2,18,55.5,0,"Winter"
1985,2,19,62.5,0,"Winter"
1985,2,20,60.5,0,"Winter"
1985,2,21,60.5,0,"Winter"
1985,2,22,62,0,"Winter"
1985,2,23,65.5,0,"Winter"
1985,2,24,70.5,0,"Winter"
1985,2,25,67.5,0,"Winter"
1985,2,26,68,0,"Winter"
1985,2,27,68.5,0,"Winter"
1985,2,28,65,0,"Winter"
1985,3,1,67,0.12,"Winter"
1985,3,2,65,0,"Winter"
1985,3,3,62,0,"Winter"
1985,3,4,70,0,"Winter"
1985,3,5,72.5,0,"Winter"
1985,3,6,65,0,"Winter"
1985,3,7,66,0,"Winter"
1985,3,8,67,0,"Winter"
1985,3,9,68,0,"Winter"
1985,3,10,69,0,"Winter"
1985,3,11,67,0,"Winter"
1985,3,12,70.5,0,"Winter"
1985,3,13,73.5,0,"Winter"
1985,3,14,69.5,0,"Winter"
1985,3,15,68,0,"Winter"
1985,3,16,67.5,0.34,"Winter"
1985,3,17,56.5,0.83,"Winter"
1985,3,18,51.5,0,"Winter"
1985,3,19,50.5,0,"Winter"
1985,3,20,58,0,"Winter"
1985,3,21,61,0.26,"Winter"
1985,3,22,67.5,0,"Winter"
1985,3,23,64,0,"Winter"
1985,3,24,66.5,0,"Winter"
1985,3,25,62.5,0,"Winter"
1985,3,26,60.5,0,"Winter"
1985,3,27,63,0,"Winter"
1985,3,28,66,0,"Winter"
1985,3,29,68.5,0,"Winter"
1985,3,30,69.5,0,"Winter"
1985,3,31,71.5,0,"Winter"
1985,4,1,61.5,0.15,"Spring"
1985,4,2,59.5,0,"Spring"
1985,4,3,59.5,0,"Spring"
1985,4,4,62,0,"Spring"
1985,4,5,67,0,"Spring"
1985,4,6,64.5,0.54,"Spring"
1985,4,7,69,0,"Spring"
1985,4,8,67,0,"Spring"
1985,4,9,57,0,"Spring"
1985,4,10,56.5,0,"Spring"
1985,4,11,62.5,0,"Spring"
1985,4,12,62.5,0.29,"Spring"
1985,4,13,61.5,2.62,"Spring"
1985,4,14,64.5,0.11,"Spring"
1985,4,15,71,0.02,"Spring"
1985,4,16,70,0.27,"Spring"
1985,4,17,67,0,"Spring"
1985,4,18,70.5,0,"Spring"
1985,4,19,70.5,0,"Spring"
1985,4,20,71,0,"Spring"
1985,4,21,68.5,0,"Spring"
1985,4,22,72.5,0,"Spring"
1985,4,23,74,0,"Spring"
1985,4,24,75.5,0,"Spring"
1985,4,25,74,0,"Spring"
1985,4,26,74,0,"Spring"
1985,4,27,76,0,"Spring"
1985,4,28,72,0,"Spring"
1985,4,29,79,0.01,"Spring"
1985,4,30,73,0,"Spring"
1985,5,1,71.5,0,"Spring"
1985,5,2,73,0,"Spring"
1985,5,3,74.5,0.01,"Spring"
1985,5,4,66.5,0.04,"Spring"
1985,5,5,71,0,"Spring"
1985,5,6,70.5,0,"Spring"
1985,5,7,74.5,0,"Spring"
1985,5,8,75,0,"Spring"
1985,5,9,76,0.2,"Spring"
1985,5,10,74,0,"Spring"
1985,5,11,76.5,0,"Spring"
1985,5,12,77.5,0,"Spring"
1985,5,13,78.5,0,"Spring"
1985,5,14,78.5,0,"Spring"
1985,5,15,82,0,"Spring"
1985,5,16,78,0,"Spring"
1985,5,17,77,0,"Spring"
1985,5,18,72,0,"Spring"
1985,5,19,72,0,"Spring"
1985,5,20,74,3.42,"Spring"
1985,5,21,80,0,"Spring"
1985,5,22,79.5,0,"Spring"
1985,5,23,80.5,0.05,"Spring"
1985,5,24,78,0,"Spring"
1985,5,25,74.5,0,"Spring"
1985,5,26,72,0,"Spring"
1985,5,27,73.5,0,"Spring"
1985,5,28,74.5,0,"Spring"
1985,5,29,76,0,"Spring"
1985,5,30,78,0,"Spring"
1985,5,31,80,0,"Spring"
1985,6,1,81,0,"Spring"
1985,6,2,84,0,"Spring"
1985,6,3,86.5,0,"Spring"
1985,6,4,88,0,"Spring"
1985,6,5,87,0,"Spring"
1985,6,6,86,0,"Spring"
1985,6,7,86.5,0,"Spring"
1985,6,8,86,0,"Spring"
1985,6,9,83,0.02,"Spring"
1985,6,10,85,0,"Spring"
1985,6,11,83.5,0.03,"Spring"
1985,6,12,77,0.53,"Spring"
1985,6,13,79,0,"Spring"
1985,6,14,72,0.31,"Spring"
1985,6,15,72.5,0.23,"Spring"
1985,6,16,75.5,1.31,"Spring"
1985,6,17,81,0,"Spring"
1985,6,18,82,0,"Spring"
1985,6,19,81,0,"Spring"
1985,6,20,78,0,"Spring"
1985,6,21,79,0.01,"Spring"
1985,6,22,81,0.39,"Spring"
1985,6,23,79.5,0,"Spring"
1985,6,24,78.5,0,"Spring"
1985,6,25,71.5,0.69,"Spring"
1985,6,26,81,0.05,"Spring"
1985,6,27,83,0.03,"Spring"
1985,6,28,79,1.82,"Spring"
1985,6,29,76,0.64,"Spring"
1985,6,30,76,1.04,"Spring"
1985,7,1,76.5,0,"Summer"
1985,7,2,80,0,"Summer"
1985,7,3,80.5,0,"Summer"
1985,7,4,78.5,0,"Summer"
1985,7,5,80.5,0.42,"Summer"
1985,7,6,80.5,0,"Summer"
1985,7,7,82.5,0,"Summer"
1985,7,8,82,0,"Summer"
1985,7,9,83,0,"Summer"
1985,7,10,82.5,0,"Summer"
1985,7,11,82,0,"Summer"
1985,7,12,80,1.52,"Summer"
1985,7,13,78,0.53,"Summer"
1985,7,14,79.5,0.7,"Summer"
1985,7,15,78.5,0,"Summer"
1985,7,16,78.5,0.08,"Summer"
1985,7,17,80.5,0,"Summer"
1985,7,18,78.5,0.81,"Summer"
1985,7,19,79.5,0.5,"Summer"
1985,7,20,80,0.07,"Summer"
1985,7,21,80.5,0.02,"Summer"
1985,7,22,81,0.12,"Summer"
1985,7,23,79,0,"Summer"
1985,7,24,79.5,0.15,"Summer"
1985,7,25,77.5,0.15,"Summer"
1985,7,26,79.5,0,"Summer"
1985,7,27,82,0,"Summer"
1985,7,28,81,0,"Summer"
1985,7,29,81,0.98,"Summer"
1985,7,30,80.5,0.2,"Summer"
1985,7,31,80.5,0.79,"Summer"
1985,8,1,80,0,"Summer"
1985,8,2,80,0.3,"Summer"
1985,8,3,77.5,0.09,"Summer"
1985,8,4,78,0,"Summer"
1985,8,5,80.5,0,"Summer"
1985,8,6,81,0.14,"Summer"
1985,8,7,80,0.46,"Summer"
1985,8,8,78.5,0.49,"Summer"
1985,8,9,80,0.76,"Summer"
1985,8,10,79.5,1.6,"Summer"
1985,8,11,79,0,"Summer"
1985,8,12,82.5,0,"Summer"
1985,8,13,80,0.36,"Summer"
1985,8,14,78.5,1.19,"Summer"
1985,8,15,80,0.55,"Summer"
1985,8,16,82.5,0,"Summer"
1985,8,17,81.5,0.04,"Summer"
1985,8,18,82,0.41,"Summer"
1985,8,19,82.5,1.16,"Summer"
1985,8,20,80.5,0.36,"Summer"
1985,8,21,78,0.03,"Summer"
1985,8,22,82.5,0,"Summer"
1985,8,23,81.5,0.35,"Summer"
1985,8,24,80.5,0.98,"Summer"
1985,8,25,78.5,0.5,"Summer"
1985,8,26,82,0,"Summer"
1985,8,27,77,0.51,"Summer"
1985,8,28,80,0,"Summer"
1985,8,29,79.5,1.33,"Summer"
1985,8,30,77.5,1.34,"Summer"
1985,8,31,73.5,2.89,"Summer"
1985,9,1,75,0.24,"Summer"
1985,9,2,80.5,0.04,"Summer"
1985,9,3,82,0.06,"Summer"
1985,9,4,79.5,0.22,"Summer"
1985,9,5,78.5,0.02,"Summer"
1985,9,6,79.5,0,"Summer"
1985,9,7,80.5,0,"Summer"
1985,9,8,81,0,"Summer"
1985,9,9,82.5,0,"Summer"
1985,9,10,83.5,0.07,"Summer"
1985,9,11,82.5,0.02,"Summer"
1985,9,12,79.5,0.68,"Summer"
1985,9,13,77,0.06,"Summer"
1985,9,14,71,0,"Summer"
1985,9,15,72.5,0.01,"Summer"
1985,9,16,73.5,1.3,"Summer"
1985,9,17,74,0.2,"Summer"
1985,9,18,75,0.1,"Summer"
1985,9,19,74,0.15,"Summer"
1985,9,20,75.5,0.05,"Summer"
1985,9,21,77.5,0.14,"Summer"
1985,9,22,77.5,0,"Summer"
1985,9,23,81,0.12,"Summer"
1985,9,24,80,0,"Summer"
1985,9,25,81,0,"Summer"
1985,9,26,78.5,0,"Summer"
1985,9,27,76,0,"Summer"
1985,9,28,72.5,0,"Summer"
1985,9,29,75.5,0.23,"Summer"
1985,9,30,76.5,0.29,"Summer"
1985,10,1,78.5,0.58,"Fall"
1985,10,2,80,0,"Fall"
1985,10,3,80.5,0.09,"Fall"
1985,10,4,80,0.28,"Fall"
1985,10,5,77,0.1,"Fall"
1985,10,6,65.5,0,"Fall"
1985,10,7,64.5,0,"Fall"
1985,10,8,71.5,0.07,"Fall"
1985,10,9,76.5,0.01,"Fall"
1985,10,10,73,0.72,"Fall"
1985,10,11,77.5,0,"Fall"
1985,10,12,80,0,"Fall"
1985,10,13,75.5,0,"Fall"
1985,10,14,76,0,"Fall"
1985,10,15,78.5,0,"Fall"
1985,10,16,78.5,0,"Fall"
1985,10,17,77.5,0,"Fall"
1985,10,18,79.5,0.02,"Fall"
1985,10,19,77.5,0,"Fall"
1985,10,20,77.5,0,"Fall"
1985,10,21,78,0,"Fall"
1985,10,22,76,0,"Fall"
1985,10,23,76,0,"Fall"
1985,10,24,76.5,0,"Fall"
1985,10,25,75,0,"Fall"
1985,10,26,78.5,0.32,"Fall"
1985,10,27,77,0.25,"Fall"
1985,10,28,82.5,0.4,"Fall"
1985,10,29,75,1.16,"Fall"
1985,10,30,79,0.03,"Fall"
1985,10,31,76.5,0.65,"Fall"
1985,11,1,76.5,1.04,"Fall"
1985,11,2,72.5,0.01,"Fall"
1985,11,3,78,0.19,"Fall"
1985,11,4,63,0,"Fall"
1985,11,5,55,0,"Fall"
1985,11,6,55.5,0,"Fall"
1985,11,7,60,0,"Fall"
1985,11,8,62.5,0,"Fall"
1985,11,9,65.5,0.02,"Fall"
1985,11,10,71.5,0,"Fall"
1985,11,11,74.5,0,"Fall"
1985,11,12,74.5,0.16,"Fall"
1985,11,13,74,0,"Fall"
1985,11,14,74.5,0,"Fall"
1985,11,15,75,0,"Fall"
1985,11,16,75,0,"Fall"
1985,11,17,71.5,0,"Fall"
1985,11,18,74,0,"Fall"
1985,11,19,74,0.02,"Fall"
1985,11,20,75.5,0.12,"Fall"
1985,11,21,78,0.15,"Fall"
1985,11,22,72,0,"Fall"
1985,11,23,68,0,"Fall"
1985,11,24,69.5,0,"Fall"
1985,11,25,72,0,"Fall"
1985,11,26,70.5,0,"Fall"
1985,11,27,71.5,0,"Fall"
1985,11,28,72.5,0.01,"Fall"
1985,11,29,75.5,0,"Fall"
1985,11,30,74,0.04,"Fall"
1985,12,1,72.5,0,"Fall"
1985,12,2,60,0.16,"Fall"
1985,12,3,49,0,"Fall"
1985,12,4,57.5,0,"Fall"
1985,12,5,63.5,0.02,"Fall"
1985,12,6,51,0,"Fall"
1985,12,7,50,0,"Fall"
1985,12,8,56.5,0,"Fall"
1985,12,9,57.5,0,"Fall"
1985,12,10,63.5,0,"Fall"
1985,12,11,65.5,0,"Fall"
1985,12,12,68.5,0,"Fall"
1985,12,13,71.5,0.74,"Fall"
1985,12,14,49.5,0.01,"Fall"
1985,12,15,45,0,"Fall"
1985,12,16,45,0,"Fall"
1985,12,17,47.5,0,"Fall"
1985,12,18,48.5,0,"Fall"
1985,12,19,48,0,"Fall"
1985,12,20,49,0,"Fall"
1985,12,21,43,0,"Fall"
1985,12,22,41,0,"Fall"
1985,12,23,52,0,"Fall"
1985,12,24,59,0.12,"Fall"
1985,12,25,43,0,"Fall"
1985,12,26,29.5,0,"Fall"
1985,12,27,43,0,"Fall"
1985,12,28,52.5,0,"Fall"
1985,12,29,49,0.03,"Fall"
1985,12,30,47,0,"Fall"
1985,12,31,52,0.48,"Fall"
1986,1,1,60.5,0.32,"Winter"
1986,1,2,62.5,0,"Winter"
1986,1,3,63,0.01,"Winter"
1986,1,4,67,1.34,"Winter"
1986,1,5,49,0.13,"Winter"
1986,1,6,45.5,0,"Winter"
1986,1,7,50.5,0.37,"Winter"
1986,1,8,47.5,0.02,"Winter"
1986,1,9,50.5,0.31,"Winter"
1986,1,10,57,2.22,"Winter"
1986,1,11,49,0.14,"Winter"
1986,1,12,51,0,"Winter"
1986,1,13,51,0,"Winter"
1986,1,14,46,0,"Winter"
1986,1,15,52.5,0,"Winter"
